Channel,Wecker,,,,,,,peaks
892,3,,,,,,,
893,8,,,,,,,
894,4,,,,,,,
895,8,,,,,,,
896,10,,,,,,,
897,10,,,,,,,
898,4,,,,,,,
899,2,,,,,,,
900,7,,,,,,,
901,3,,,,,,,
902,1,,,,,,,
903,2,,,,,,,
904,4,,,,,,,
905,4,,,,,,,
906,3,,,,,,,
907,4,,,,,,,
908,5,,,,,,,
909,5,,,,,,,
910,7,,,,,,,
911,5,,,,,,,
912,7,,,,,,,
913,6,,,,,,,
914,2,,,,,,,
915,7,,,,,,,
916,7,,,,,,,
917,4,,,,,,,
918,5,,,,,,,
919,2,,,,,,,
920,5,,,,,,,
921,6,,,,,,,
922,5,,,,,,,
923,2,,,,,,,
924,5,,,,,,,
925,6,,,,,,,
926,3,,,,,,,
927,6,,,,,,,
928,7,,,,,,,
929,6,,,,,,,
930,2,,,,,,,
931,2,,,,,,,
932,7,,,,,,,
933,3,,,,,,,
934,4,,,,,,,
935,2,,,,,,,
936,4,,,,,,,
937,1,,,,,,,
938,1,,,,,,,
939,1,,,,,,,
940,5,,,,,,,
941,2,,,,,,,
942,5,,,,,,,
943,1,,,,,,,
944,2,,,,,,,
945,1,,,,,,,
946,3,,,,,,,
947,0,,,,,,,
948,4,,,,,,,
949,1,,,,,,,
950,4,,,,,,,
951,2,,,,,,,
952,1,,,,,,,
953,1,,,,,,,
954,1,,,,,,,
955,3,,,,,,,
956,2,,,,,,,
957,3,,,,,,,
958,2,,,,,,,
959,2,,,,,,,
960,6,,,,,,,
961,5,,,,,,,
962,3,,,,,,,
963,4,,,,,,,
964,0,,,,,,,
965,2,,,,,,,
966,4,,,,,,,
967,5,,,,,,,
968,3,,,,,,,
969,1,,,,,,,
970,2,,,,,,,
971,2,,,,,,,
972,2,,,,,,,
973,1,,,,,,,
974,2,,,,,,,
975,1,,,,,,,
976,0,,,,,,,
977,2,,,,,,,
978,1,,,,,,,
979,4,,,,,,,
980,5,,,,,,,
981,1,,,,,,,
982,3,,,,,,,
983,2,,,,,,,
984,0,,,,,,,
985,2,,,,,,,
986,1,,,,,,,
987,1,,,,,,,
988,1,,,,,,,
989,2,,,,,,,
990,5,,,,,,,
991,2,,,,,,,
992,3,,,,,,,
993,3,,,,,,,
994,2,,,,,,,
995,1,,,,,,,
996,0,,,,,,,
997,1,,,,,,,
998,2,,,,,,,
999,3,,,,,,,
1000,1,,,,,,,
1001,3,,,,,,,
1002,1,,,,,,,
1003,2,,,,,,,
1004,1,,,,,,,
1005,0,,,,,,,
1006,1,,,,,,,
1007,1,,,,,,,
1008,1,,,,,,,
1009,3,,,,,,,
1010,3,,,,,,,
1011,1,,,,,,,
1012,1,,,,,,,
1013,2,,,,,,,
1014,0,,,,,,,
1015,2,,,,,,,
1016,1,,,,,,,
1017,0,,,,,,,
1018,0,,,,,,,
1019,1,,,,,,,
1020,2,,,,,,,
1021,1,,,,,,,
1022,2,,,,,,,
1023,1439,,,,,,,
